modnr, pixrad, nmod, tot_t, mod_t, burn_t
002477, 8, 200, 3.69, 2.17, 1.12
000916, 8, 200, 3.42, 2.07, 0.99
001275, 8, 200, 2.92, 1.55, 1.06
002452, 12, 200, 12.66, 4.24, 6.68
003536, 8, 200, 3.71, 2.18, 1.12
002302, 10, 200, 5.68, 2.29, 2.61
001038, 8, 200, 2.76, 1.39, 1.05
002211, 8, 200, 9.42, 2.46, 5.96
002347, 8, 200, 2.64, 1.41, 0.92
003196, 10, 200, 6.63, 2.85, 2.86
001026, 8, 200, 3.51, 2.17, 1.02
000378, 8, 200, 3.69, 2.16, 1.12
001675, 8, 200, 9.57, 3.10, 5.41
003296, 10, 200, 383.36, 53.96, 307.62
003590, 6, 200, 3.18, 1.93, 1.00
003565, 12, 200, 102.43, 20.80, 73.08
001013, 8, 200, 3.27, 1.91, 1.01
000777, 8, 200, 9.61, 3.13, 5.47
000512, 8, 200, 3.13, 1.57, 1.15
000811, 8, 200, 2.72, 1.35, 1.05
002785, 8, 200, 2.77, 1.40, 1.05
002976, 8, 200, 3.21, 1.84, 1.00
003366, 8, 200, 3.73, 2.19, 1.13
001521, 5, 200, 1.03, 0.75, 0.20
001933, 8, 200, 2.61, 1.36, 0.91
002629, 12, 200, 88.40, 16.53, 63.04
000482, 5, 200, 1.36, 0.49, 0.69
000489, 5, 200, 1.35, 0.47, 0.69
002732, 8, 200, 3.72, 2.17, 1.14
001931, 10, 200, 31.46, 6.75, 21.43
002824, 8, 200, 9.56, 3.13, 5.25
001046, 8, 200, 3.90, 2.33, 1.03
003375, 8, 200, 3.70, 2.17, 1.13
003150, 8, 200, 7.95, 1.94, 4.94
002405, 12, 200, 16.14, 5.24, 8.88
002322, 12, 200, 85.29, 13.44, 62.49
002980, 8, 200, 3.25, 1.85, 1.01
000833, 8, 200, 3.17, 1.82, 1.03
000516, 8, 200, 3.33, 1.98, 1.06
000183, 8, 200, 9.67, 3.27, 5.38
000698, 8, 200, 2.78, 1.40, 1.04
001780, 10, 200, 5.93, 2.24, 2.95
003273, 8, 200, 3.22, 1.87, 1.02
001369, 8, 200, 8.33, 2.38, 4.94
003205, 8, 200, 3.21, 1.87, 1.01
001481, 8, 200, 3.16, 1.95, 0.88
000081, 5, 200, 1.82, 0.93, 0.70
003276, 8, 200, 3.22, 1.85, 1.01
000622, 8, 200, 3.10, 1.57, 1.16
001007, 8, 200, 3.26, 1.88, 1.05
000161, 5, 200, 1.16, 0.41, 0.60
000409, 8, 100, 9.06, 2.42, 5.48
002104, 8, 200, 3.10, 1.57, 1.16
000584, 8, 200, 8.67, 2.55, 4.99
003090, 8, 200, 3.67, 2.15, 1.11
002235, 8, 200, 9.69, 3.24, 5.45
003431, 12, 200, 13.42, 4.48, 7.31
001883, 12, 200, 90.63, 16.19, 64.80
001641, 8, 200, 6.60, 1.32, 4.40
002567, 12, 200, 16.51, 5.33, 9.09
000457, 8, 1050, 16.06, 9.85, 5.22
001358, 8, 200, 3.17, 1.82, 1.02
